ID_Carton;Num_1;Num_2;Num_3;Num_4;Num_5;Num_6;Num_7;Num_8;Num_9;Num_10
59;9;13;25;26;41;47;48;51;52;57
60;7;12;19;24;35;50;55;57;58;59
61;11;15;19;28;29;38;46;51;52;55
62;5;8;15;20;21;29;30;31;44;56
63;4;6;16;23;27;29;34;41;46;51
64;3;7;15;21;24;37;39;41;42;58
65;2;6;11;17;24;25;30;37;50;52
66;12;14;22;36;38;41;50;55;56;59
67;1;3;12;14;20;35;37;38;43;51
68;1;4;7;19;29;37;48;53;54;56
69;4;17;18;22;25;38;43;53;57;58
70;6;13;15;23;25;37;39;40;43;52
71;11;13;20;23;25;32;39;42;44;52
72;5;9;15;17;21;27;40;51;57;60
73;3;10;17;21;29;30;31;43;44;47
74;11;17;19;23;27;31;46;49;51;55
75;7;9;10;13;18;19;32;41;50;58
76;14;20;24;29;32;33;34;36;45;58
77;18;23;27;33;40;44;47;49;52;56
78;4;5;7;11;20;23;31;37;46;60
79;1;14;24;32;34;36;38;42;46;54
80;7;22;27;33;34;36;42;44;52;54
81;1;4;32;39;44;45;46;52;54;58
82;21;24;25;28;35;40;46;54;56;57
83;4;12;22;26;38;43;47;48;57;58
84;10;15;21;33;46;47;50;53;55;58
85;2;6;9;16;19;25;32;33;40;44
86;5;6;9;17;32;34;49;54;58;59
87;8;11;17;20;26;31;34;46;58;60
88;4;6;9;19;26;27;29;34;50;54
89;2;6;13;14;17;20;31;36;46;52
90;5;15;24;35;41;45;48;50;52;57
91;9;11;14;18;20;31;41;47;54;57
92;2;3;6;7;15;24;45;50;51;59
93;2;4;14;17;19;30;32;38;43;49
94;8;26;37;42;43;46;48;54;56;57
95;9;11;21;25;27;40;41;48;49;50
96;4;8;15;19;25;30;31;46;51;58
97;8;15;19;22;25;32;46;47;57;60
98;5;6;11;17;22;32;35;44;45;60
99;1;5;11;12;15;24;42;43;52;54
100;8;13;15;21;25;29;41;44;46;54
101;6;7;15;16;29;33;39;44;45;56
102;5;18;23;24;26;30;33;36;39;53
103;4;7;25;27;28;29;38;41;42;47
104;1;2;5;30;31;32;39;40;41;56
105;2;8;9;13;15;19;25;32;41;58
106;7;8;16;22;23;27;34;42;51;52
107;7;14;17;20;21;39;45;51;55;57
108;2;3;5;15;24;31;33;35;39;53
109;4;7;11;21;25;26;34;38;42;55
110;1;7;8;9;17;28;34;39;49;51
111;1;2;7;31;34;35;37;44;47;52
112;6;19;24;27;30;35;45;48;50;57
113;3;10;16;23;27;33;35;48;56;60
114;3;4;9;13;15;31;43;44;54;60
115;5;10;12;17;21;22;23;28;35;43
116;11;16;19;23;31;32;37;47;50;54
117;3;6;15;21;41;42;44;46;56;57
118;2;7;9;28;34;41;46;47;51;60
119;2;14;18;28;38;39;41;49;55;56
120;4;5;14;15;17;24;37;45;46;57
121;3;5;8;16;24;32;36;40;48;50
122;8;13;15;18;28;31;36;40;51;52
123;22;26;27;38;41;43;46;55;56;58
124;1;3;6;7;10;15;17;27;42;58
125;1;7;29;34;37;44;54;55;59;60
126;2;4;7;11;17;20;23;48;51;52
127;1;4;9;10;15;34;35;45;51;54
128;9;18;21;22;33;34;37;39;40;49
129;6;22;24;27;33;47;54;56;57;60
130;1;16;21;28;42;43;47;58;59;60
131;6;14;17;21;27;33;35;40;43;56
132;15;18;20;22;27;29;32;39;56;57
133;20;21;26;27;38;42;44;50;55;57
134;16;25;35;38;39;41;48;57;58;60
135;1;9;13;15;31;35;43;44;54;56
136;3;18;26;28;30;31;40;46;53;54
137;9;10;23;24;25;36;38;39;56;60
138;3;9;10;16;24;32;34;40;46;56
139;5;6;23;26;42;43;45;51;52;54
140;5;7;9;18;19;39;45;51;57;58
141;19;24;37;40;43;48;49;50;53;57
142;2;9;12;13;35;36;40;47;57;60
143;4;12;14;15;18;24;26;30;52;60
144;5;7;9;10;14;26;27;32;36;59
145;9;17;24;27;35;38;41;43;53;58
146;3;11;25;30;35;40;42;49;54;59
147;9;11;12;15;32;34;46;53;59;60
148;3;10;11;23;28;32;38;53;54;55
149;2;11;14;32;34;36;39;42;59;60
150;7;12;25;38;40;48;49;55;58;59
151;14;23;25;28;37;40;42;47;50;59
152;10;13;15;20;23;28;34;50;57;60
153;1;3;11;18;19;24;28;32;45;47
154;4;7;8;10;20;31;33;40;55;59
155;8;20;22;29;30;39;48;51;53;57
156;11;18;29;35;36;37;44;45;52;55
157;3;20;26;30;43;44;50;51;52;60
158;2;12;27;31;33;35;46;50;52;55
159;3;12;13;14;15;18;21;42;45;48
160;10;15;18;22;26;30;35;37;46;53
161;4;5;13;31;39;51;53;55;56;60
162;3;15;18;19;25;32;52;54;57;59
163;9;17;21;43;44;46;53;58;59;60
164;2;15;17;18;20;24;26;34;36;52
165;3;6;10;13;22;27;30;33;38;59
166;2;3;7;13;20;29;30;39;50;56
167;3;7;12;19;23;27;29;38;53;57
168;13;16;22;30;31;33;40;41;45;60
169;14;19;22;27;30;33;37;43;51;52
170;3;11;16;26;30;31;32;35;41;45
171;5;14;18;24;26;31;34;44;47;53
172;2;8;9;10;15;21;29;47;53;60
173;9;10;14;17;23;25;32;33;45;57
174;1;16;17;18;27;42;44;48;50;51
175;6;7;8;9;10;46;48;50;55;56
176;5;11;14;19;20;26;35;44;55;57
177;13;14;19;20;26;32;35;37;41;43
178;5;23;26;27;33;43;46;47;52;58
179;1;8;12;19;21;22;27;29;35;43
180;11;13;15;23;30;39;40;45;49;52
181;5;10;17;30;33;36;44;46;48;58
182;3;4;6;11;20;24;33;36;37;60
183;4;7;9;16;17;23;29;34;41;54
184;3;10;15;17;24;34;40;47;49;55
185;7;8;24;26;27;30;47;51;55;57
186;2;9;23;27;30;44;46;48;56;60
187;5;8;15;16;37;38;42;47;52;53
188;12;20;21;32;34;37;41;45;55;60
189;2;5;12;22;32;36;37;38;45;57
190;18;24;28;35;36;37;40;47;48;57
191;8;12;13;17;28;30;38;43;53;58
192;4;5;6;10;20;26;33;49;56;60
193;1;4;12;13;15;23;27;35;36;55
194;4;14;22;26;27;30;45;49;50;55
195;21;22;24;28;33;34;42;49;53;58
196;7;9;10;16;19;23;29;30;42;52
197;10;11;21;30;40;41;46;47;49;50
198;7;14;22;24;26;27;43;47;57;60
199;4;11;12;27;28;46;51;53;55;60
200;2;15;21;22;23;25;38;42;43;52
201;14;19;20;25;29;30;41;45;53;57
202;9;15;34;35;37;45;54;56;58;60
203;6;7;14;18;22;31;36;44;54;57
204;2;8;12;14;26;33;46;49;56;60
205;6;10;16;17;31;32;48;50;55;58
206;3;8;13;18;30;35;41;56;57;59
207;5;6;22;32;35;38;41;42;51;59
208;15;25;28;45;46;47;50;52;55;58
209;5;6;7;25;29;30;33;38;44;50
210;21;28;38;39;44;47;50;51;54;60
211;1;6;8;27;31;35;39;41;58;60
212;6;7;18;20;21;24;36;38;45;49
213;2;17;33;34;40;44;47;51;52;57
214;3;6;9;17;20;21;25;26;27;38
215;2;4;8;14;15;20;32;40;45;59
216;4;5;23;32;34;43;53;56;59;60
217;3;23;25;26;27;29;34;50;52;58
218;1;6;12;14;16;24;43;52;57;59
219;7;8;19;20;21;24;30;34;44;58
220;4;7;13;18;28;35;44;48;57;60
221;5;23;31;34;35;44;47;48;50;57
222;12;15;17;18;29;33;34;46;58;59
223;4;10;13;28;31;32;35;36;52;59
224;1;7;8;13;37;43;48;49;52;60
225;1;9;10;17;18;22;29;35;42;57
226;1;4;12;28;40;44;49;50;51;59
227;6;7;9;10;14;25;28;52;55;59
228;7;9;10;23;25;36;40;44;47;60
229;1;10;13;22;37;40;45;46;54;60
230;6;11;13;17;19;20;30;39;43;45
231;3;9;10;23;26;40;41;42;50;54
232;9;13;15;17;20;31;47;48;51;53
233;3;10;18;19;24;39;42;44;50;59
234;1;20;25;28;30;31;42;45;50;60
235;1;9;11;15;16;18;35;40;46;59
236;17;20;25;26;27;51;53;56;58;59
237;5;9;13;17;19;23;37;39;41;51
238;5;7;12;19;30;32;37;53;58;59
239;5;10;21;24;28;29;42;48;52;57
240;4;22;26;34;35;44;49;51;54;59
241;3;9;24;25;36;38;50;55;56;57
242;3;6;9;22;36;37;38;42;55;57
243;3;10;17;19;22;30;31;45;46;50
244;16;17;18;29;35;43;50;55;58;60
245;5;6;7;14;26;31;51;56;58;60
246;11;13;14;17;26;41;43;49;51;60
247;4;5;7;13;18;20;33;40;50;53
248;9;18;24;34;35;37;38;45;51;59
249;1;6;10;14;30;38;39;41;54;59
250;6;9;13;15;17;21;28;29;33;52
251;4;6;7;26;37;40;43;49;50;55
252;8;17;18;22;38;45;50;54;59;60
253;3;7;19;21;23;25;35;50;54;57
254;11;16;28;29;33;36;39;45;47;50
255;2;5;10;12;13;15;21;35;43;55
256;4;16;22;30;34;35;40;43;53;56
257;18;20;26;29;32;39;47;50;54;59
258;2;16;19;23;26;34;37;45;51;54
259;1;4;13;14;16;17;27;30;35;36
260;6;7;11;21;29;31;41;42;49;57
261;8;11;23;40;41;45;47;48;55;58
262;6;10;23;29;30;34;35;44;53;56
263;3;18;30;34;35;42;48;49;53;55
264;6;8;11;17;28;33;36;50;55;57
265;1;9;16;17;22;30;37;44;48;59
266;2;3;9;10;18;19;20;24;39;47
267;6;7;15;18;27;37;38;39;45;49
268;4;7;17;19;20;26;32;46;51;57
269;7;23;27;28;36;37;44;46;53;56
270;1;5;22;25;27;48;49;50;59;60
271;15;21;22;25;31;40;46;47;57;58
272;9;12;17;21;25;26;34;41;57;58
273;1;12;15;17;20;21;31;32;33;41
274;3;9;21;26;28;30;37;55;57;59
275;6;7;23;28;30;33;36;40;50;56
276;9;18;21;23;40;42;44;46;50;57
277;3;8;9;10;34;38;40;45;47;58
278;4;6;13;16;17;18;24;34;49;55
279;1;3;8;11;15;31;37;38;39;46
280;3;7;12;13;21;22;30;35;48;57
281;15;28;41;42;46;51;53;54;57;58
282;1;2;3;14;37;42;53;55;56;60
283;2;21;28;31;32;33;44;46;48;57
284;2;3;10;17;20;25;26;34;38;55
285;13;17;19;28;30;32;34;39;50;52
286;2;3;6;14;26;33;41;48;50;60
287;2;25;26;37;39;46;47;48;52;57
288;9;18;26;32;33;37;51;53;54;58
289;8;9;22;28;29;42;44;46;51;57
290;6;9;15;27;40;43;44;49;56;58
291;4;15;26;29;34;37;42;50;51;55
292;1;4;7;10;15;17;18;36;38;55
293;3;7;19;28;30;36;43;45;50;57
294;8;11;34;43;44;46;47;49;51;52
295;3;4;8;17;31;34;55;56;59;60
296;12;21;25;28;31;33;46;55;56;60
297;1;2;11;16;18;22;23;26;47;52
298;4;11;12;16;18;26;40;49;56;58
299;5;10;11;12;14;24;25;26;31;38
300;4;8;13;21;28;35;40;51;53;54
301;9;11;12;13;14;15;29;43;46;55
302;4;6;24;26;44;45;47;52;56;60
303;5;10;29;35;36;37;48;49;50;51
304;1;4;9;21;41;42;48;50;54;58
305;2;7;8;12;20;21;24;26;32;57
306;3;5;6;10;14;15;22;36;47;59
307;10;17;22;27;32;43;48;52;53;56
308;3;4;9;11;13;15;16;17;26;46
309;15;25;39;41;42;44;45;49;54;56
310;1;7;15;19;22;29;37;48;56;57
311;1;8;10;17;21;25;31;43;46;50
312;3;4;12;25;29;31;42;48;54;58
313;4;8;16;19;25;33;44;49;55;60
314;4;13;14;18;23;26;28;43;52;60
315;7;17;24;26;33;40;41;53;56;57
316;24;29;31;33;44;49;51;52;57;59
317;1;3;5;15;18;35;41;42;50;59
318;2;5;9;28;32;37;41;49;56;58
319;2;4;31;32;34;38;40;41;52;55
320;2;5;20;21;32;39;40;47;48;60
321;2;15;16;34;35;41;43;51;54;55
322;4;9;10;18;24;26;42;44;46;60
323;12;13;24;31;33;40;41;45;47;54
324;10;19;21;22;31;36;41;45;53;57
325;10;15;20;21;26;28;40;47;56;60
326;8;12;15;17;32;37;42;49;55;58
327;3;8;13;17;23;25;26;33;50;58
328;11;12;13;14;16;22;30;44;50;60
329;2;4;6;12;19;20;25;31;38;56
330;5;6;7;20;26;35;36;45;51;53
331;4;9;10;11;15;22;45;54;55;59
332;2;9;16;21;25;41;42;44;45;60
333;8;9;10;17;18;21;22;28;41;52
334;1;3;9;13;14;18;40;48;51;52
335;7;9;11;19;24;28;29;32;45;58
336;4;7;9;12;23;27;30;31;41;51
337;20;33;35;37;40;42;43;48;55;56
338;1;12;15;16;18;23;35;40;51;60
339;10;22;28;32;35;39;45;49;58;59
340;7;8;18;23;26;29;34;55;56;60
341;6;15;17;30;32;47;48;55;58;60
342;2;20;31;38;49;50;51;54;55;57
343;4;11;14;18;24;30;35;39;41;56
344;4;8;16;18;21;26;38;42;50;53
345;2;7;10;23;26;46;51;53;57;58
346;7;9;13;15;16;30;49;51;56;57
347;5;16;17;18;19;24;29;32;35;51
348;10;12;15;17;20;21;51;52;54;57
349;9;13;16;19;24;35;38;39;53;54
350;3;13;30;32;43;45;48;51;59;60
351;10;23;26;36;40;41;43;44;46;50
352;4;10;24;27;35;45;49;52;54;57
353;5;9;13;21;22;33;40;47;50;56
354;1;4;5;8;9;29;33;41;47;53
355;10;13;16;18;24;31;45;54;56;57
356;14;17;24;30;32;34;35;49;56;58
357;12;13;19;27;28;36;39;43;50;54
358;3;9;25;29;30;37;41;43;44;50
359;11;15;29;34;41;44;54;56;58;60
360;1;17;31;34;38;50;52;54;58;60
361;5;12;16;34;37;38;53;56;58;60
362;8;14;15;25;26;32;35;41;54;59
363;1;4;11;18;36;44;46;49;53;54
364;4;10;12;20;23;25;29;37;44;45
365;11;18;23;34;37;39;46;50;57;59
366;1;3;8;23;24;28;46;49;57;60
367;7;16;27;34;42;43;46;51;57;60
368;8;13;28;33;35;37;47;49;51;60
369;4;16;29;30;37;39;40;44;46;57
370;5;25;31;33;34;42;43;47;50;55
371;13;14;18;25;41;42;43;44;56;60
372;1;12;13;27;39;44;46;54;55;56
373;3;14;16;21;24;25;30;35;39;40
374;1;6;17;24;32;42;44;49;50;60
375;6;16;19;26;29;31;43;44;49;55
376;5;6;8;21;23;41;42;47;58;59
377;2;10;22;23;32;41;42;46;47;52
378;5;13;25;28;29;33;37;42;48;52
379;2;8;10;15;16;24;41;47;53;59
380;1;4;9;19;31;41;43;58;59;60
381;1;5;9;12;14;30;39;42;46;59
382;31;32;33;40;41;44;47;52;53;57
383;9;16;19;21;28;36;41;54;56;59
384;6;8;11;14;15;33;36;40;47;58
385;17;18;21;25;28;46;47;52;58;59
386;1;6;11;21;23;25;35;43;44;47
387;7;9;16;24;25;28;32;34;47;55
388;5;8;12;19;23;29;44;46;51;58
389;21;23;24;25;28;29;35;44;45;53
390;3;6;8;15;19;24;25;34;50;54
391;3;7;9;24;29;30;33;36;41;42
392;1;5;10;16;17;22;30;35;42;53
393;7;8;12;27;34;42;52;53;57;59
394;1;10;32;35;36;42;44;46;53;56
395;5;10;17;21;22;24;25;29;31;57
396;14;16;20;21;32;39;46;55;57;58
397;6;11;14;19;30;31;37;43;50;60
398;2;17;19;22;24;30;33;35;40;49
399;5;10;13;25;30;38;48;53;55;57
400;2;3;8;12;16;27;28;42;50;58
401;7;12;15;18;27;35;36;38;51;59
402;2;3;4;11;32;35;37;44;46;57
403;2;3;11;16;18;28;40;47;48;55
404;3;8;13;14;26;29;30;34;48;52
405;15;18;26;27;31;34;37;47;54;57
406;2;3;5;32;42;47;49;51;53;58
407;5;14;22;24;27;30;32;33;36;47
408;5;7;15;28;32;33;37;42;43;51
409;6;7;12;14;23;25;30;40;44;60
410;4;6;20;25;30;39;41;42;46;47
411;3;6;23;32;33;47;52;54;58;60
412;10;34;36;37;42;45;51;53;57;60
413;4;6;10;15;19;23;48;49;52;56
414;1;11;16;20;24;26;35;44;52;55
415;3;9;24;31;39;43;46;57;58;60
416;5;7;8;23;24;41;49;52;53;54
417;10;15;22;24;28;29;33;47;53;60
418;1;2;13;23;26;31;34;51;53;57
419;13;16;18;19;24;27;34;41;47;54
420;4;5;12;14;18;20;21;27;34;48
421;16;23;24;25;26;31;33;40;48;49
422;2;4;8;9;14;16;18;25;55;56
423;10;15;21;27;30;36;37;42;45;47
424;3;6;7;12;16;17;22;32;35;48
425;3;12;22;25;31;34;42;56;57;59
426;1;5;9;15;32;47;52;54;56;57
427;7;12;14;32;33;45;46;48;54;55
428;12;14;15;19;27;31;37;39;44;56
429;1;4;15;31;40;41;43;45;56;58
430;1;2;4;11;19;21;31;39;40;46
431;2;10;11;13;20;22;28;54;55;60
432;4;11;18;19;22;30;38;42;49;58
433;4;6;11;12;22;25;31;50;52;60
434;11;13;19;20;25;26;31;38;42;47
435;5;10;32;38;39;42;45;49;50;51
436;1;8;15;31;35;37;46;48;55;60
437;5;14;15;25;33;39;40;42;58;60
438;9;22;25;33;34;35;47;50;58;59
439;1;8;20;33;35;38;45;49;53;54
440;5;7;11;14;20;38;44;51;55;60
441;5;7;10;14;27;36;38;41;43;51
442;3;7;10;27;35;39;40;45;46;52
443;1;7;9;12;13;36;37;43;45;46
444;1;2;5;15;21;32;33;49;50;55
445;2;7;9;12;16;25;33;37;46;59
446;10;13;21;29;30;33;35;42;47;48
447;7;16;30;32;33;34;37;42;44;52
448;5;10;12;26;34;39;46;50;57;60
449;7;13;26;29;34;41;42;47;50;57
450;2;19;21;24;29;38;39;41;50;52
451;3;11;23;27;34;42;45;49;51;60
452;4;6;7;8;20;30;32;34;39;56
453;8;15;18;29;36;37;38;39;47;59
454;8;12;18;22;45;49;51;52;56;60
455;2;10;22;27;35;36;42;43;53;56
456;2;7;11;13;23;24;37;40;46;60
457;5;7;25;28;30;31;36;37;46;47
458;3;13;15;16;32;36;38;52;53;55
459;5;8;19;22;30;33;50;53;54;56
460;2;10;27;28;30;35;48;52;54;58
461;1;10;13;25;38;43;51;52;53;57
462;3;17;20;22;43;45;48;49;51;52
463;1;9;14;21;24;32;33;35;37;47
464;2;3;9;24;29;36;40;46;54;55
465;2;10;26;27;29;39;49;52;59;60
466;4;18;23;28;32;40;49;52;55;58
467;6;15;16;20;21;25;31;33;45;56
468;9;16;17;21;24;30;34;47;51;58
469;3;16;18;19;24;28;30;37;45;54
470;2;3;4;9;13;20;26;32;33;52
471;5;18;26;33;36;37;38;43;57;60
472;16;18;31;37;42;47;48;52;56;57
473;3;5;8;11;13;15;16;38;43;44
474;5;7;11;15;31;36;37;46;48;55
475;7;15;17;23;25;36;39;57;59;60
476;3;17;20;21;24;31;33;51;58;60
477;13;17;19;27;32;34;36;39;42;57
478;9;11;17;18;23;25;31;37;55;56
479;2;5;6;7;16;26;27;38;47;57
480;1;2;11;13;30;31;36;40;47;58
481;7;12;14;26;32;35;39;41;48;58
482;6;20;22;24;25;32;35;40;43;45
483;1;5;7;11;21;23;27;33;46;48
484;9;10;12;14;17;37;38;55;59;60
485;11;18;24;27;31;36;40;44;47;48
486;3;5;10;15;17;27;35;38;50;55
487;7;11;12;20;22;33;36;43;44;46
488;4;22;29;34;35;44;49;54;59;60
489;13;22;23;29;30;34;44;52;53;54
490;4;5;10;13;18;31;32;35;40;59
491;3;17;22;26;27;35;38;39;49;53
492;1;12;14;23;30;31;37;42;51;57
493;4;21;24;25;26;33;38;43;45;53
494;5;14;15;29;30;33;34;39;46;52
495;1;3;5;6;10;14;31;36;52;58
496;4;5;6;11;29;31;41;43;50;52
497;8;17;19;22;26;28;41;42;50;53
498;12;25;28;32;35;36;38;42;53;54
499;2;16;19;21;25;30;31;47;51;59
500;4;5;15;19;21;23;34;39;42;58
501;9;12;15;23;24;29;46;48;56;57
502;2;4;6;12;41;43;49;53;58;60
503;1;23;24;27;38;42;44;50;51;57
504;1;2;10;30;34;39;40;48;56;60
505;5;10;24;31;39;40;45;47;55;58
506;4;9;13;16;21;22;24;35;58;60
507;4;19;20;34;38;39;40;44;52;59
508;2;3;6;7;10;17;29;44;46;55
509;1;6;12;13;14;33;36;39;54;57
510;7;11;14;25;28;30;37;40;42;44
511;1;21;29;33;36;37;51;53;54;58
512;1;8;26;28;36;41;42;50;52;53
513;1;8;16;17;22;24;33;38;41;50
514;1;7;11;20;26;34;40;41;44;55
515;8;10;14;20;24;29;35;48;53;56
516;2;6;8;26;31;41;47;48;51;55
517;1;2;6;7;12;42;46;50;55;58
518;3;4;18;21;35;43;46;48;51;52
519;9;10;15;18;24;34;35;47;48;59
520;4;11;15;26;31;39;40;44;50;59
521;3;7;13;20;28;31;45;46;57;59
522;3;8;14;15;18;29;31;43;47;59
523;1;9;16;25;28;33;36;52;55;59
524;6;13;14;17;20;29;30;38;45;53
525;6;8;11;17;18;23;25;32;52;53
526;3;13;17;19;21;22;24;35;41;50
527;7;19;25;34;44;46;49;50;52;57
528;7;9;10;13;17;33;52;58;59;60
529;1;6;21;24;25;33;35;43;49;57
530;10;13;14;20;32;35;40;46;47;49
531;2;6;7;13;34;35;42;52;54;58
532;5;8;12;19;20;24;26;35;43;52
533;4;13;16;20;28;37;38;46;47;57
534;1;6;9;15;18;34;43;53;54;58
535;8;15;18;21;22;24;25;37;50;57
536;2;8;14;19;26;33;45;52;59;60
537;8;16;20;21;24;25;26;38;41;46
538;1;2;14;15;33;36;40;41;52;59
539;11;16;23;33;50;51;52;53;54;56
540;6;8;19;20;36;38;43;46;48;50
541;18;22;25;26;30;33;36;37;44;49
542;4;17;23;28;40;49;51;53;56;59
543;19;20;23;28;29;31;34;45;47;51
544;4;6;14;16;18;28;42;46;48;50
545;6;11;14;16;18;20;21;54;56;60
546;5;14;18;22;31;34;42;48;55;56
547;5;8;15;27;42;46;47;48;54;58
548;5;16;20;25;35;39;40;41;45;52
549;14;15;23;30;31;33;46;49;57;60
550;9;17;22;23;28;34;39;43;44;49
551;9;11;13;20;23;25;35;40;41;49
552;6;10;18;20;27;31;32;33;38;57
553;4;15;17;22;27;28;30;37;42;59
554;6;7;9;20;24;31;32;48;54;59
555;1;2;6;10;19;24;28;44;46;53
556;13;18;19;26;29;33;39;55;56;58
557;3;10;11;12;23;24;37;38;39;46
558;8;27;29;37;38;42;49;50;56;59
559;3;11;14;17;38;39;42;45;46;52
560;1;14;20;24;28;29;31;37;56;59
561;4;6;7;18;19;33;45;55;56;57
562;17;19;22;25;30;36;38;44;57;59
563;3;6;10;11;22;26;27;41;48;58
564;3;43;44;47;50;51;52;54;56;58
565;4;16;23;30;33;44;49;56;57;60
566;8;17;18;21;23;28;34;45;55;57
567;2;7;9;15;24;26;37;39;40;55
568;3;9;11;12;18;32;35;49;54;57
569;5;10;14;15;16;19;27;31;35;49
570;13;22;24;28;35;43;48;50;53;54
571;1;2;3;9;12;13;14;18;46;56
572;4;14;20;29;37;48;49;56;58;60
573;15;20;22;27;29;37;38;39;51;55
574;1;7;9;10;11;16;19;27;29;41
575;4;17;31;33;34;35;52;54;55;58
576;2;4;12;13;19;29;37;43;49;57
577;9;13;17;19;20;33;43;46;56;59
578;7;11;14;18;26;29;30;46;51;53
579;1;2;5;8;26;33;38;42;44;60
580;6;21;28;34;39;46;50;51;57;60
581;3;17;19;20;23;29;42;45;47;50
582;5;7;9;16;23;24;28;38;39;58
583;1;4;11;16;23;34;45;54;57;58
584;6;12;18;38;39;51;52;53;59;60
585;6;7;10;12;20;30;36;39;41;56
586;1;10;19;24;27;34;38;39;44;52
587;12;13;25;27;28;35;37;49;52;59
588;4;6;9;22;23;27;29;34;50;57
589;9;17;20;25;28;29;48;51;59;60
590;1;22;33;40;45;46;47;50;52;57
591;3;12;17;23;26;28;35;39;49;55
592;4;9;17;22;30;38;42;48;50;51
593;5;15;16;18;23;24;27;46;57;58
594;24;32;33;38;42;43;46;51;55;59
595;5;12;15;21;24;26;45;49;52;55
596;5;6;19;21;34;40;44;51;52;53
597;3;6;22;31;33;34;36;42;45;50
598;4;7;10;19;22;27;35;41;47;50
599;6;11;20;22;27;35;42;45;49;60
600;14;15;20;23;24;25;33;49;58;60
601;1;4;6;9;19;23;31;38;53;60
602;3;8;11;21;25;36;47;51;55;57
603;3;15;29;31;32;38;44;48;52;57
604;7;10;16;29;36;40;43;52;53;57
605;8;16;17;25;27;28;29;42;51;53
606;9;19;26;30;31;38;43;50;52;53
607;5;14;20;26;48;49;51;56;58;60
608;6;17;19;23;29;32;39;40;54;55
609;5;6;7;22;23;32;43;45;58;59
610;5;15;22;35;39;45;46;49;50;51
611;7;15;19;25;35;43;45;57;58;59
612;2;12;30;35;36;38;41;43;53;56
613;6;15;24;30;32;41;52;57;58;59
614;22;24;25;31;34;36;45;47;50;57
615;3;4;9;18;22;26;32;43;46;56
616;8;9;15;23;28;38;46;49;50;55
617;1;2;7;20;23;26;31;51;54;58
618;4;10;20;23;25;36;46;49;53;55
619;7;9;11;12;27;30;42;44;45;53
620;2;5;9;23;29;37;38;47;52;60
621;6;11;19;25;26;30;33;46;54;58
622;6;14;19;20;23;27;28;50;56;57
623;1;14;40;43;45;46;49;54;55;56
624;6;13;36;37;38;47;52;53;54;55
625;2;8;9;15;21;38;40;43;48;60
626;1;6;9;13;14;33;47;48;50;60
627;2;3;12;14;18;22;31;33;51;58
628;10;12;13;21;28;29;35;42;45;58
629;2;9;26;30;31;33;37;38;42;54
630;1;2;7;10;31;37;39;41;47;51
631;5;10;22;23;25;26;27;34;42;51
