CARTON 1;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CARTON 2;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10
0013;4;8;11;12;19;24;32;38;42;45;2;9;28;31;32;36;38;43;45;55;7;18;26;28;38;40;42;45;49;52;0613;2;9;16;23;40;41;47;48;53;55;5;10;11;15;16;24;28;29;35;51;3;5;12;17;28;29;30;43;49;51
0014;1;5;8;16;24;26;39;40;42;55;5;10;13;15;19;22;26;37;40;54;4;12;18;25;31;32;45;50;59;60;0614;4;7;14;19;20;22;31;34;52;53;1;6;13;16;25;26;33;37;51;56;6;10;16;21;24;26;27;32;48;56
0015;16;21;29;40;41;45;54;56;58;60;9;14;24;27;32;35;37;42;48;52;2;12;15;21;23;25;29;31;47;52;0615;1;2;12;27;30;35;51;55;57;58;11;14;15;18;30;36;39;43;53;54;1;2;3;4;5;16;18;26;36;51
0016;9;12;15;28;31;39;41;48;49;52;9;26;28;29;33;34;39;52;56;60;4;9;15;17;23;33;36;41;47;60;0616;3;4;11;25;30;33;48;54;56;60;2;5;7;13;26;42;43;48;53;54;20;33;34;36;41;46;50;52;59;60
0017;5;10;13;14;26;30;32;35;41;54;6;12;14;22;25;35;36;52;56;57;2;5;17;29;30;34;37;46;47;57;0617;3;7;23;28;30;31;36;40;50;57;1;18;25;29;37;45;47;49;50;53;1;7;21;30;38;40;44;51;55;57
0018;12;22;28;31;32;34;39;41;45;56;1;2;23;29;33;34;37;41;54;59;3;9;20;26;27;37;39;43;47;50;0618;1;5;8;9;12;14;26;34;37;48;15;19;21;22;23;25;35;50;52;56;13;15;26;31;34;38;42;44;47;53
0019;1;8;13;17;20;29;36;40;49;53;5;12;15;21;34;35;37;40;45;51;2;5;9;11;12;15;23;26;34;60;0619;8;17;20;22;23;34;37;49;59;60;12;14;20;28;29;43;44;55;59;60;5;8;22;24;34;39;43;50;58;59
0020;7;8;13;14;16;17;37;44;53;56;9;13;25;26;41;47;48;51;52;57;7;12;19;24;35;50;55;57;58;59;0620;3;6;15;24;29;35;39;49;51;52;14;24;25;27;28;30;34;38;49;56;14;21;23;26;28;30;31;34;43;58
0021;11;15;19;28;29;38;46;51;52;55;5;8;15;20;21;29;30;31;44;56;4;6;16;23;27;29;34;41;46;51;0621;1;2;8;9;11;19;23;50;59;60;7;9;32;35;37;41;43;44;58;60;5;6;9;25;32;34;50;52;54;60
0022;3;7;15;21;24;37;39;41;42;58;2;6;11;17;24;25;30;37;50;52;12;14;22;36;38;41;50;55;56;59;0622;2;8;23;29;34;35;36;44;50;57;7;18;24;29;33;45;50;52;55;59;11;13;17;19;27;36;42;52;54;60
0023;1;3;12;14;20;35;37;38;43;51;1;4;7;19;29;37;48;53;54;56;4;17;18;22;25;38;43;53;57;58;0623;2;3;4;8;24;27;33;39;48;54;1;5;25;27;40;49;50;52;56;60;1;6;7;9;17;24;33;42;51;55
0024;6;13;15;23;25;37;39;40;43;52;11;13;20;23;25;32;39;42;44;52;5;9;15;17;21;27;40;51;57;60;0624;1;6;7;13;19;23;48;50;57;59;6;7;8;12;13;20;25;26;32;60;16;25;28;34;37;39;47;49;56;58
0025;3;10;17;21;29;30;31;43;44;47;11;17;19;23;27;31;46;49;51;55;7;9;10;13;18;19;32;41;50;58;0625;4;6;11;16;19;28;32;37;43;60;13;14;19;25;27;31;37;42;44;57;10;11;15;19;22;36;38;43;51;57
0026;14;20;24;29;32;33;34;36;45;58;18;23;27;33;40;44;47;49;52;56;4;5;7;11;20;23;31;37;46;60;0626;6;11;27;34;35;39;44;45;48;54;1;2;4;16;30;43;44;48;50;52;22;27;33;34;39;40;44;46;47;50
0027;1;14;24;32;34;36;38;42;46;54;7;22;27;33;34;36;42;44;52;54;1;4;32;39;44;45;46;52;54;58;0627;1;4;8;12;14;15;19;29;36;49;1;6;8;20;22;26;34;40;46;57;3;15;18;22;35;44;46;48;52;58
0028;21;24;25;28;35;40;46;54;56;57;4;12;22;26;38;43;47;48;57;58;10;15;21;33;46;47;50;53;55;58;0628;9;13;16;17;21;24;25;31;37;39;3;7;14;25;28;39;42;44;49;53;10;11;14;16;19;24;30;44;46;56
0029;2;6;9;16;19;25;32;33;40;44;5;6;9;17;32;34;49;54;58;59;8;11;17;20;26;31;34;46;58;60;0629;4;19;27;28;31;42;47;54;58;60;6;12;16;18;29;30;42;49;59;60;3;6;13;28;29;30;36;41;44;56
0030;4;6;9;19;26;27;29;34;50;54;2;6;13;14;17;20;31;36;46;52;5;15;24;35;41;45;48;50;52;57;0630;11;13;17;18;25;30;37;39;40;55;6;10;18;19;24;37;40;49;52;53;1;10;12;13;25;27;34;47;48;59
0031;9;11;14;18;20;31;41;47;54;57;2;3;6;7;15;24;45;50;51;59;2;4;14;17;19;30;32;38;43;49;0631;6;13;25;33;38;45;47;56;58;59;12;13;18;26;30;33;39;47;53;55;2;3;4;5;15;19;23;27;40;52
0032;8;26;37;42;43;46;48;54;56;57;9;11;21;25;27;40;41;48;49;50;4;8;15;19;25;30;31;46;51;58;0632;3;5;10;15;16;20;34;45;46;56;8;9;12;26;30;31;32;38;46;49;7;12;14;16;21;22;30;38;41;56
0033;8;15;19;22;25;32;46;47;57;60;5;6;11;17;22;32;35;44;45;60;1;5;11;12;15;24;42;43;52;54;0633;5;11;12;17;24;25;26;34;40;44;7;8;18;19;27;29;33;40;43;53;1;5;7;8;31;32;47;48;53;55
0034;8;13;15;21;25;29;41;44;46;54;6;7;15;16;29;33;39;44;45;56;5;18;23;24;26;30;33;36;39;53;0634;5;14;19;20;27;44;45;53;56;59;1;2;15;28;29;31;33;48;49;51;1;3;6;35;38;41;47;53;54;55
0035;4;7;25;27;28;29;38;41;42;47;1;2;5;30;31;32;39;40;41;56;2;8;9;13;15;19;25;32;41;58;0635;6;9;18;21;24;28;44;49;56;59;9;23;25;26;34;39;41;49;52;53;5;8;13;15;21;32;40;43;51;59
0036;7;8;16;22;23;27;34;42;51;52;7;14;17;20;21;39;45;51;55;57;2;3;5;15;24;31;33;35;39;53;0636;4;6;15;20;22;29;37;44;45;57;5;11;14;31;33;39;47;51;52;58;10;14;18;25;26;35;36;49;53;59
0037;4;7;11;21;25;26;34;38;42;55;1;7;8;9;17;28;34;39;49;51;1;2;7;31;34;35;37;44;47;52;0637;4;12;14;20;33;36;40;50;57;59;2;3;5;12;17;20;21;25;29;57;7;14;15;21;28;33;39;56;58;59
0038;6;19;24;27;30;35;45;48;50;57;3;10;16;23;27;33;35;48;56;60;3;4;9;13;15;31;43;44;54;60;0638;4;9;24;27;29;35;38;43;48;60;6;18;24;30;32;33;36;46;49;59;13;14;17;24;31;33;35;39;50;55
0039;5;10;12;17;21;22;23;28;35;43;11;16;19;23;31;32;37;47;50;54;3;6;15;21;41;42;44;46;56;57;0639;6;7;13;23;39;40;42;44;57;59;3;8;12;15;20;38;43;52;55;59;4;7;8;12;17;21;37;51;52;55
0040;2;7;9;28;34;41;46;47;51;60;2;14;18;28;38;39;41;49;55;56;4;5;14;15;17;24;37;45;46;57;0640;1;6;14;26;30;34;41;42;56;57;14;16;18;19;26;28;40;44;56;60;1;6;26;28;30;34;37;39;43;60
0041;3;5;8;16;24;32;36;40;48;50;8;13;15;18;28;31;36;40;51;52;22;26;27;38;41;43;46;55;56;58;0641;4;8;11;14;30;32;34;41;42;45;1;5;9;18;28;42;49;50;51;59;3;15;19;33;35;39;43;47;56;57
0042;1;3;6;7;10;15;17;27;42;58;1;7;29;34;37;44;54;55;59;60;2;4;7;11;17;20;23;48;51;52;0642;7;11;13;23;27;39;42;45;54;59;1;9;14;16;20;28;34;40;46;58;2;7;22;24;27;33;34;48;55;60
0043;1;4;9;10;15;34;35;45;51;54;9;18;21;22;33;34;37;39;40;49;6;22;24;27;33;47;54;56;57;60;0643;3;5;7;11;19;22;29;36;40;58;6;12;15;17;25;28;39;41;48;54;1;2;11;22;24;27;34;49;54;57
0044;1;16;21;28;42;43;47;58;59;60;6;14;17;21;27;33;35;40;43;56;15;18;20;22;27;29;32;39;56;57;0644;5;19;21;22;29;39;42;47;51;54;5;11;15;20;21;35;38;39;48;50;12;17;24;28;30;31;34;35;53;54
0045;20;21;26;27;38;42;44;50;55;57;16;25;35;38;39;41;48;57;58;60;1;9;13;15;31;35;43;44;54;56;0645;1;13;25;26;29;34;36;44;46;56;2;6;7;8;23;27;32;34;43;45;17;22;24;34;42;45;48;54;55;59
0046;3;18;26;28;30;31;40;46;53;54;9;10;23;24;25;36;38;39;56;60;3;9;10;16;24;32;34;40;46;56;0646;2;7;14;21;25;35;38;42;50;55;6;7;15;21;23;29;37;38;45;49;1;14;16;26;27;34;40;44;58;60
0047;5;6;23;26;42;43;45;51;52;54;5;7;9;18;19;39;45;51;57;58;19;24;37;40;43;48;49;50;53;57;0647;11;16;17;24;39;44;49;50;59;60;3;9;16;25;29;32;33;44;45;59;2;9;13;18;19;22;36;47;56;57
0048;2;9;12;13;35;36;40;47;57;60;4;12;14;15;18;24;26;30;52;60;5;7;9;10;14;26;27;32;36;59;0648;10;19;25;26;41;45;47;54;57;59;4;5;13;32;33;35;36;37;54;60;3;17;20;23;28;35;36;51;55;58
0049;9;17;24;27;35;38;41;43;53;58;3;11;25;30;35;40;42;49;54;59;9;11;12;15;32;34;46;53;59;60;0649;12;18;23;31;35;36;37;45;57;58;12;14;15;25;26;42;46;48;51;57;6;24;26;29;32;36;42;47;55;56
0050;3;10;11;23;28;32;38;53;54;55;2;11;14;32;34;36;39;42;59;60;7;12;25;38;40;48;49;55;58;59;0650;1;6;11;13;14;31;40;48;51;55;1;3;4;6;15;23;27;37;42;44;1;4;6;21;28;33;44;47;50;58
0051;14;23;25;28;37;40;42;47;50;59;10;13;15;20;23;28;34;50;57;60;1;3;11;18;19;24;28;32;45;47;0651;7;13;14;16;27;28;31;41;43;48;8;23;26;28;29;36;48;52;55;56;17;20;23;27;31;43;44;45;53;57
0052;4;7;8;10;20;31;33;40;55;59;8;20;22;29;30;39;48;51;53;57;11;18;29;35;36;37;44;45;52;55;0652;4;8;14;16;20;28;29;30;31;57;4;5;8;15;18;25;39;40;46;54;29;43;45;46;50;52;53;55;56;59
0053;3;20;26;30;43;44;50;51;52;60;2;12;27;31;33;35;46;50;52;55;3;12;13;14;15;18;21;42;45;48;0653;7;14;17;20;35;42;45;50;51;53;11;12;24;28;35;36;41;43;47;51;3;4;10;20;24;33;34;37;49;57
0054;10;15;18;22;26;30;35;37;46;53;4;5;13;31;39;51;53;55;56;60;3;15;18;19;25;32;52;54;57;59;0654;14;15;21;22;25;29;35;40;51;55;14;15;19;24;29;40;51;54;58;60;4;6;11;13;23;35;36;41;42;47
0055;9;17;21;43;44;46;53;58;59;60;2;15;17;18;20;24;26;34;36;52;3;6;10;13;22;27;30;33;38;59;0655;1;6;10;19;20;24;26;41;55;57;3;7;12;15;24;26;39;41;42;50;15;16;22;33;35;39;49;52;58;60
0056;2;3;7;13;20;29;30;39;50;56;3;7;12;19;23;27;29;38;53;57;13;16;22;30;31;33;40;41;45;60;0656;15;19;21;27;36;43;44;55;57;58;17;18;21;23;29;36;37;41;43;53;6;7;21;26;33;38;46;50;51;60
0057;14;19;22;27;30;33;37;43;51;52;3;11;16;26;30;31;32;35;41;45;5;14;18;24;26;31;34;44;47;53;0657;4;12;15;20;25;37;46;47;52;60;3;6;14;27;28;38;49;50;51;57;1;2;5;13;19;26;31;41;48;60
0058;2;8;9;10;15;21;29;47;53;60;9;10;14;17;23;25;32;33;45;57;1;16;17;18;27;42;44;48;50;51;0658;10;13;19;21;25;28;36;45;47;50;7;17;18;24;31;34;37;50;55;56;10;14;20;24;27;31;34;54;58;60
0059;6;7;8;9;10;46;48;50;55;56;5;11;14;19;20;26;35;44;55;57;13;14;19;20;26;32;35;37;41;43;0659;2;6;9;13;26;31;41;44;49;52;6;18;24;25;34;37;38;39;42;45;3;10;22;30;37;42;48;51;54;58
0060;5;23;26;27;33;43;46;47;52;58;1;8;12;19;21;22;27;29;35;43;11;13;15;23;30;39;40;45;49;52;0660;5;8;13;16;23;30;32;34;43;57;3;12;20;23;25;26;34;40;41;54;2;25;26;32;34;39;42;43;54;55
0061;5;10;17;30;33;36;44;46;48;58;3;4;6;11;20;24;33;36;37;60;4;7;9;16;17;23;29;34;41;54;0661;4;13;17;19;22;30;39;45;54;56;10;12;15;19;28;33;49;52;55;59;7;16;24;26;35;40;43;48;51;59
0062;3;10;15;17;24;34;40;47;49;55;7;8;24;26;27;30;47;51;55;57;2;9;23;27;30;44;46;48;56;60;0662;1;7;8;10;12;20;22;36;39;59;3;6;15;21;23;24;32;39;42;52;5;6;8;12;18;27;29;30;33;46
0063;5;8;15;16;37;38;42;47;52;53;12;20;21;32;34;37;41;45;55;60;2;5;12;22;32;36;37;38;45;57;0663;2;6;11;12;17;25;32;34;47;50;1;12;13;26;29;39;46;49;51;60;11;15;17;22;31;33;51;54;56;58
0064;18;24;28;35;36;37;40;47;48;57;8;12;13;17;28;30;38;43;53;58;4;5;6;10;20;26;33;49;56;60;0664;2;4;9;18;23;25;31;36;39;44;9;11;14;31;32;35;36;38;49;59;3;7;10;20;23;31;33;36;50;53
0065;1;4;12;13;15;23;27;35;36;55;4;14;22;26;27;30;45;49;50;55;21;22;24;28;33;34;42;49;53;58;0665;2;8;13;18;23;47;48;49;56;57;7;9;14;15;24;33;39;43;47;52;7;13;16;24;28;33;39;40;44;46
0066;7;9;10;16;19;23;29;30;42;52;10;11;21;30;40;41;46;47;49;50;7;14;22;24;26;27;43;47;57;60;0666;8;10;21;23;33;35;47;48;51;58;7;9;29;30;39;40;42;54;56;60;7;13;16;18;29;32;36;38;46;51
0067;4;11;12;27;28;46;51;53;55;60;2;15;21;22;23;25;38;42;43;52;14;19;20;25;29;30;41;45;53;57;0667;14;18;21;31;32;40;45;46;49;55;2;20;29;31;33;36;41;43;46;49;4;11;21;24;26;27;32;42;46;55
0068;9;15;34;35;37;45;54;56;58;60;6;7;14;18;22;31;36;44;54;57;2;8;12;14;26;33;46;49;56;60;0668;11;13;21;31;39;43;44;45;53;58;4;12;21;22;25;34;35;47;54;60;16;20;21;48;50;51;53;55;57;58
0069;6;10;16;17;31;32;48;50;55;58;3;8;13;18;30;35;41;56;57;59;5;6;22;32;35;38;41;42;51;59;0669;1;8;9;11;37;43;44;49;52;53;4;16;19;28;29;37;43;46;49;54;1;9;18;19;22;30;33;40;47;48
0070;15;25;28;45;46;47;50;52;55;58;5;6;7;25;29;30;33;38;44;50;21;28;38;39;44;47;50;51;54;60;0670;8;10;15;19;25;28;36;41;50;57;13;18;23;24;35;40;46;51;52;57;4;19;20;26;40;42;55;57;58;60
0071;1;6;8;27;31;35;39;41;58;60;6;7;18;20;21;24;36;38;45;49;2;17;33;34;40;44;47;51;52;57;0671;1;4;5;17;31;39;46;47;48;58;1;3;5;11;21;45;50;51;52;58;2;3;9;11;18;30;42;50;53;54
0072;3;6;9;17;20;21;25;26;27;38;2;4;8;14;15;20;32;40;45;59;4;5;23;32;34;43;53;56;59;60;0672;8;16;22;23;25;34;36;42;44;53;5;14;19;30;33;36;41;43;53;58;3;4;6;12;14;21;28;39;40;49
0073;3;23;25;26;27;29;34;50;52;58;1;6;12;14;16;24;43;52;57;59;7;8;19;20;21;24;30;34;44;58;0673;5;8;12;29;30;31;36;37;40;54;10;16;18;21;25;26;29;42;44;56;4;19;20;26;42;51;52;54;56;60
0074;4;7;13;18;28;35;44;48;57;60;5;23;31;34;35;44;47;48;50;57;12;15;17;18;29;33;34;46;58;59;0674;14;17;35;36;40;44;45;46;55;58;3;4;5;7;16;18;19;24;26;36;2;15;19;23;24;25;48;49;55;57
0075;4;10;13;28;31;32;35;36;52;59;1;7;8;13;37;43;48;49;52;60;1;9;10;17;18;22;29;35;42;57;0675;8;15;30;32;34;35;36;47;49;53;2;19;25;29;31;32;33;37;51;60;3;4;13;22;32;37;44;47;50;57
0076;1;4;12;28;40;44;49;50;51;59;6;7;9;10;14;25;28;52;55;59;7;9;10;23;25;36;40;44;47;60;0676;9;12;14;19;22;27;34;38;47;52;8;15;16;27;29;33;36;50;54;57;10;18;22;28;39;50;51;53;55;60
0077;1;10;13;22;37;40;45;46;54;60;6;11;13;17;19;20;30;39;43;45;3;9;10;23;26;40;41;42;50;54;0677;6;10;11;14;16;24;41;47;55;58;8;9;13;14;27;49;53;55;57;59;6;20;27;30;35;40;49;56;57;58
0078;9;13;15;17;20;31;47;48;51;53;3;10;18;19;24;39;42;44;50;59;1;20;25;28;30;31;42;45;50;60;0678;8;9;12;18;29;35;37;38;43;48;5;6;16;24;27;35;39;47;53;58;1;4;8;15;26;37;47;49;55;56
0079;1;9;11;15;16;18;35;40;46;59;17;20;25;26;27;51;53;56;58;59;5;9;13;17;19;23;37;39;41;51;0679;3;9;12;30;34;39;45;53;54;58;4;11;20;22;30;35;46;47;54;58;4;9;12;14;18;21;31;36;44;58
0080;5;7;12;19;30;32;37;53;58;59;5;10;21;24;28;29;42;48;52;57;4;22;26;34;35;44;49;51;54;59;0680;1;2;6;12;21;27;29;36;38;52;3;6;17;19;21;24;36;42;47;48;7;9;15;27;28;31;34;40;48;55
0081;3;9;24;25;36;38;50;55;56;57;3;6;9;22;36;37;38;42;55;57;3;10;17;19;22;30;31;45;46;50;0681;1;5;9;10;12;23;27;28;43;58;5;6;10;12;31;32;38;50;54;55;4;11;19;23;26;31;38;49;51;53
0082;16;17;18;29;35;43;50;55;58;60;5;6;7;14;26;31;51;56;58;60;11;13;14;17;26;41;43;49;51;60;0682;5;13;16;20;35;36;42;45;53;58;7;11;18;19;22;24;33;34;51;59;22;24;29;32;34;35;40;47;55;60
0083;4;5;7;13;18;20;33;40;50;53;9;18;24;34;35;37;38;45;51;59;1;6;10;14;30;38;39;41;54;59;0683;1;12;17;33;35;41;42;43;46;47;1;7;9;14;23;29;34;36;42;44;8;13;22;24;35;46;47;51;55;59
0084;6;9;13;15;17;21;28;29;33;52;4;6;7;26;37;40;43;49;50;55;8;17;18;22;38;45;50;54;59;60;0684;6;7;8;19;31;34;42;46;54;59;8;12;14;23;34;39;41;42;50;53;7;12;17;36;38;40;43;50;59;60
0085;3;7;19;21;23;25;35;50;54;57;11;16;28;29;33;36;39;45;47;50;2;5;10;12;13;15;21;35;43;55;0685;2;4;8;11;13;14;20;22;27;51;9;18;23;25;26;31;36;38;51;58;5;7;10;11;19;24;27;29;46;51
0086;4;16;22;30;34;35;40;43;53;56;18;20;26;29;32;39;47;50;54;59;2;16;19;23;26;34;37;45;51;54;0686;1;14;21;27;33;45;46;51;56;58;1;4;8;15;33;34;37;39;40;47;5;6;13;15;16;25;40;42;46;48
0087;1;4;13;14;16;17;27;30;35;36;6;7;11;21;29;31;41;42;49;57;8;11;23;40;41;45;47;48;55;58;0687;1;3;16;19;23;26;32;43;54;57;1;7;13;14;24;25;26;38;39;55;3;5;13;15;18;26;40;48;49;52
0088;6;10;23;29;30;34;35;44;53;56;3;18;30;34;35;42;48;49;53;55;6;8;11;17;28;33;36;50;55;57;0688;5;7;25;31;32;34;40;43;46;52;5;6;7;26;36;40;42;47;58;60;5;10;21;28;31;34;37;45;46;57
0089;1;9;16;17;22;30;37;44;48;59;2;3;9;10;18;19;20;24;39;47;6;7;15;18;27;37;38;39;45;49;0689;11;18;27;29;41;45;46;51;55;59;4;5;9;11;21;22;24;27;48;54;9;32;35;36;38;42;45;50;53;58
0090;4;7;17;19;20;26;32;46;51;57;7;23;27;28;36;37;44;46;53;56;1;5;22;25;27;48;49;50;59;60;0690;10;17;20;22;24;33;48;51;58;59;2;7;10;12;13;24;32;41;46;47;2;13;14;24;37;38;45;46;47;53
0091;15;21;22;25;31;40;46;47;57;58;9;12;17;21;25;26;34;41;57;58;1;12;15;17;20;21;31;32;33;41;0691;1;3;4;16;19;36;39;45;54;55;7;15;17;26;30;33;34;35;40;57;22;30;34;41;43;44;45;56;58;60
0092;3;9;21;26;28;30;37;55;57;59;6;7;23;28;30;33;36;40;50;56;9;18;21;23;40;42;44;46;50;57;0692;12;15;17;21;30;34;38;45;55;57;4;7;12;13;16;21;33;43;50;57;1;3;4;5;9;28;29;38;40;54
0093;3;8;9;10;34;38;40;45;47;58;4;6;13;16;17;18;24;34;49;55;1;3;8;11;15;31;37;38;39;46;0693;6;7;16;25;27;28;30;37;42;44;2;9;23;24;31;33;35;41;43;45;4;15;21;25;35;40;47;48;54;57
0094;3;7;12;13;21;22;30;35;48;57;15;28;41;42;46;51;53;54;57;58;1;2;3;14;37;42;53;55;56;60;0694;2;10;15;25;27;30;32;39;54;55;8;12;15;22;25;31;40;46;48;53;1;20;21;22;24;38;49;53;54;57
0095;2;21;28;31;32;33;44;46;48;57;2;3;10;17;20;25;26;34;38;55;13;17;19;28;30;32;34;39;50;52;0695;2;10;16;21;24;40;43;53;59;60;9;13;14;16;24;25;26;32;40;56;10;12;13;16;23;28;29;36;56;59
0096;2;3;6;14;26;33;41;48;50;60;2;25;26;37;39;46;47;48;52;57;9;18;26;32;33;37;51;53;54;58;0696;4;8;10;17;25;33;39;43;55;59;2;5;14;15;31;33;38;43;52;54;5;30;31;32;35;41;46;52;56;59
0097;8;9;22;28;29;42;44;46;51;57;6;9;15;27;40;43;44;49;56;58;4;15;26;29;34;37;42;50;51;55;0697;5;11;12;13;19;24;31;47;55;58;5;7;10;26;33;44;50;52;55;57;7;12;13;22;31;39;47;48;57;58
0098;1;4;7;10;15;17;18;36;38;55;3;7;19;28;30;36;43;45;50;57;8;11;34;43;44;46;47;49;51;52;0698;12;13;29;32;33;36;43;44;46;51;1;9;30;32;37;41;42;43;45;49;4;24;34;36;37;42;48;51;54;57
0099;3;4;8;17;31;34;55;56;59;60;12;21;25;28;31;33;46;55;56;60;1;2;11;16;18;22;23;26;47;52;0699;3;5;17;29;30;38;46;48;49;53;15;16;17;21;28;29;43;49;54;58;9;13;14;22;23;24;26;35;49;57
0100;4;11;12;16;18;26;40;49;56;58;5;10;11;12;14;24;25;26;31;38;4;8;13;21;28;35;40;51;53;54;0700;2;10;12;21;32;36;43;47;58;60;8;13;14;20;22;27;35;41;47;49;4;21;23;27;33;35;39;41;50;57
0101;9;11;12;13;14;15;29;43;46;55;4;6;24;26;44;45;47;52;56;60;5;10;29;35;36;37;48;49;50;51;0701;15;27;28;31;46;47;49;53;55;59;1;7;19;23;33;36;40;41;43;55;6;7;10;13;23;34;38;40;42;60
0102;1;4;9;21;41;42;48;50;54;58;2;7;8;12;20;21;24;26;32;57;3;5;6;10;14;15;22;36;47;59;0702;6;12;14;21;24;27;28;36;37;43;4;7;9;15;20;28;29;33;42;46;7;15;17;23;27;30;39;41;52;56
0103;10;17;22;27;32;43;48;52;53;56;3;4;9;11;13;15;16;17;26;46;15;25;39;41;42;44;45;49;54;56;0703;1;12;13;25;28;30;33;40;41;59;11;19;21;24;27;33;53;55;56;59;4;7;10;11;18;27;45;46;58;60
0104;1;7;15;19;22;29;37;48;56;57;1;8;10;17;21;25;31;43;46;50;3;4;12;25;29;31;42;48;54;58;0704;3;12;15;17;27;33;35;46;47;55;2;24;29;32;40;43;46;56;58;60;2;12;19;23;24;26;42;43;48;57
0105;4;8;16;19;25;33;44;49;55;60;4;13;14;18;23;26;28;43;52;60;7;17;24;26;33;40;41;53;56;57;0705;5;8;9;12;19;23;28;31;45;56;2;6;11;15;33;35;43;47;54;55;1;10;14;16;33;39;44;47;50;57
0106;24;29;31;33;44;49;51;52;57;59;1;3;5;15;18;35;41;42;50;59;2;5;9;28;32;37;41;49;56;58;0706;1;12;23;34;38;39;43;50;52;59;13;15;22;25;26;28;38;39;40;41;18;21;23;33;35;41;42;47;57;58
0107;2;4;31;32;34;38;40;41;52;55;2;5;20;21;32;39;40;47;48;60;2;15;16;34;35;41;43;51;54;55;0707;1;2;7;9;25;26;44;48;49;56;1;2;6;18;35;38;46;48;52;57;1;15;21;30;31;32;33;43;52;58
0108;4;9;10;18;24;26;42;44;46;60;12;13;24;31;33;40;41;45;47;54;10;19;21;22;31;36;41;45;53;57;0708;6;17;23;24;29;30;32;33;35;59;12;14;21;31;33;35;36;42;47;49;3;4;6;19;25;28;30;39;40;57
